RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2000,2/29/2000,3/31/2000,4/30/2000,5/31/2000,6/30/2000,7/31/2000,8/31/2000,9/30/2000,10/31/2000,11/30/2000,12/31/2000,1/31/2001,2/28/2001,3/31/2001,4/30/2001,5/31/2001,6/30/2001,7/31/2001,8/31/2001,9/30/2001,10/31/2001,11/30/2001,12/31/2001,1/31/2002,2/28/2002,3/31/2002,4/30/2002,5/31/2002,6/30/2002,7/31/2002,8/31/2002,9/30/2002,10/31/2002,11/30/2002,12/31/2002,1/31/2003,2/28/2003,3/31/2003,4/30/2003,5/31/2003,6/30/2003,7/31/2003,8/31/2003,9/30/2003,10/31/2003,11/30/2003,12/31/2003,1/31/2004,2/29/2004,3/31/2004,4/30/2004,5/31/2004,6/30/2004,7/31/2004,8/31/2004,9/30/2004,10/31/2004,11/30/2004,12/31/2004,1/31/2005,2/28/2005,3/31/2005,4/30/2005,5/31/2005,6/30/2005,7/31/2005,8/31/2005,9/30/2005,10/31/2005,11/30/2005,12/31/2005,1/31/2006,2/28/2006,3/31/2006,4/30/2006,5/31/2006,6/30/2006,7/31/2006,8/31/2006,9/30/2006,10/31/2006,11/30/2006,12/31/2006,1/31/2007,2/28/2007,3/31/2007,4/30/2007,5/31/2007,6/30/2007,7/31/2007,8/31/2007,9/30/2007,10/31/2007,11/30/2007,12/31/2007,1/31/2008,2/29/2008,3/31/2008,4/30/2008,5/31/2008,6/30/2008,7/31/2008,8/31/2008,9/30/2008,10/31/2008,11/30/2008,12/31/2008,1/31/2009,2/28/2009,3/31/2009,4/30/2009,5/31/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/31/2009,11/30/2009,12/31/2009,1/31/2010,2/28/2010,3/31/2010,4/30/2010,5/31/2010,6/30/2010,7/31/2010,8/31/2010,9/30/2010,10/31/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/30/2011,5/31/2011,6/30/2011,7/31/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/31/2011,1/31/2012,2/29/2012,3/31/2012,4/30/2012,5/31/2012,6/30/2012,7/31/2012,8/31/2012,9/30/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021
102001,0,United States,Country,,127202,127546,127908,128645,129389,130130,130886,131692,132515,133343,134180,135035,135834,136569,137316,138113,138935,139741,140552,141392,142224,143061,143827,144559,145227,145923,146658,147436,148265,149137,150083,151071,152048,153030,153955,154878,155720,156579,157459,158411,159429,160444,161503,162622,163805,164987,166054,167074,168090,169255,170558,171981,173555,175231,177015,178769,180478,182104,183625,185170,186688,188281,189936,191835,193814,195874,197912,199963,201945,203788,205435,206910,208158,209365,210626,211991,213293,214387,215188,215792,216129,216372,216448,216492,216474,216493,216501,216519,216361,216010,215401,214758,213974,213157,212131,211093,209855,208514,207013,205445,203863,202194,200402,198359,196362,194442,192546,190656,188814,187371,186017,184757,183456,182267,181200,180170,179218,178477,178137,177995,177924,177818,177827,177994,178064,177853,177140,176194,175075,173985,172870,171858,170905,170048,169237,168387,167503,166661,165996,165414,164902,164362,163914,163509,163280,163171,163340,163662,164139,164591,165053,165492,165980,166559,167267,168064,169034,170119,171359,172612,173944,175302,176663,177924,179126,180279,181356,182388,183410,184463,185333,186048,186699,187366,187953,188358,188738,189225,189868,190596,191332,192151,193055,193994,194926,195730,196438,197115,197839,198597,199330,200199,201166,202217,203136,204126,205082,206053,206922,207755,208627,209565,210621,211709,212804,213924,215086,216328,217516,218654,219651,220650,221742,222947,224213,225509,226800,228169,229501,230819,232035,233147,234180,235157,236133,237098,238072,239064,240083,241023,241832,242530,243176,243777,244328,244887,245520,246233,246968,247795,248779,249923,251208,252429,253276,253982,255081,256996,259505,262323,265348,268391,271623,274979,278635,282495,287202,292730,298613,304008,308632,312728
394913,1,"New York, NY",Msa,NY,224341,225681,226887,229261,231472,233825,236298,238858,241425,243966,246407,248694,250894,253316,255684,258155,260499,263033,265497,268163,270863,273841,276584,279231,281904,284508,287044,289490,292077,295011,298171,302075,306162,310244,313865,317527,321213,324999,329060,332839,336696,340391,344300,348064,351492,354688,357674,360586,363857,367118,370612,373978,378001,382300,387066,391821,396752,401639,406250,410470,414458,418408,422522,427440,432685,437854,442611,447391,452263,457255,461647,465968,469656,473524,476575,479395,481773,484091,485552,485998,485455,484096,482379,480508,478851,477701,477758,477553,477328,475719,473874,472035,470055,468804,467324,465909,464577,463090,461067,458845,455516,452499,449092,446111,442887,439348,435671,432263,428611,425156,421826,418572,415929,413116,410574,407726,405606,404010,403101,402526,402418,402709,402528,402482,402177,402760,403168,403220,402452,400940,399086,396960,395598,394512,394013,392858,391633,389822,388170,386485,384879,383233,381436,379895,378470,377180,376114,375411,375143,375112,374903,374573,374194,373903,374060,374487,375151,376043,377153,378879,380865,382773,384488,385955,387509,389218,391012,392582,394446,396126,398088,399805,401506,402914,403763,404370,404884,405364,405785,406431,407133,408139,408844,410063,411164,412442,413147,413509,413923,414417,415667,416608,417361,417979,419072,420759,422339,423581,424539,425386,426324,427447,428737,430159,432044,433683,435775,437476,440061,442292,444648,446548,448381,450090,451747,453442,455559,458164,461106,464127,466498,468150,468858,469559,470737,472430,474272,475833,476846,477722,478618,479619,480304,480502,480470,480198,479733,479196,478902,479439,480468,481943,483360,484851,485660,486216,487431,490018,494520,500002,506026,511847,516687,521426,525792,530533,536044,543211,551142,558738,564641,569191
753899,2,"Los Angeles, CA",Msa,CA,231193,231998,233231,235576,238089,240463,242893,245444,247874,250096,252153,254319,255984,257787,259709,262388,265016,267439,269916,272500,275179,277835,280149,282584,284591,286957,289775,293359,297436,301595,306829,312281,317831,322787,327708,332570,336665,340446,344629,349306,355135,359745,365764,372052,379508,385658,391636,397608,404637,412341,421071,431113,443428,455554,466304,475175,484107,492893,498693,504658,509976,517378,525150,533135,540820,548037,556531,565579,574873,584315,590694,597292,602877,608333,613298,617448,622673,626612,627859,629290,627520,627672,626449,626493,626653,626350,625256,623327,619856,616652,610696,604246,596337,588848,583200,576105,569762,560205,549764,535729,521365,508120,496099,485481,477951,470467,462387,451638,443968,439803,436827,433795,430782,427104,424569,422903,423007,423677,426573,431376,433313,432799,433064,436015,439761,439002,436414,431706,427587,423484,419761,418437,417722,418122,416360,414589,409670,408465,407273,405291,400881,396778,396330,396555,395935,395196,394519,395033,396115,397790,400386,402426,404823,408492,412856,419303,425637,434851,443879,453734,461844,470308,477685,485446,491969,497152,502888,507945,513629,516106,517080,516369,516394,516535,517381,515941,515481,515968,519153,522933,527526,532464,536326,537737,539648,541611,542805,544218,546235,550544,553908,559727,563638,567911,569695,572923,576054,578959,579709,581336,583596,588153,591884,594712,599166,602226,605583,607153,610333,614102,615657,617358,619559,624331,630261,635444,640355,645529,650555,655103,657654,660520,660952,661829,662280,665537,667390,666879,665719,663569,662227,661796,662764,663781,662846,663571,666284,670585,672598,674408,677384,683481,690442,695566,693656,690756,692497,701669,712284,722248,729738,736073,741209,748698,756569,767615,783282,803090,823992,837437,846549,851308
753899,2,"Long Beach, CA",Msa,CA,231193,231998,233231,235576,238089,240463,242893,245444,247874,250096,252153,254319,255984,257787,259709,262388,265016,267439,269916,272500,275179,277835,280149,282584,284591,286957,289775,293359,297436,301595,306829,312281,317831,322787,327708,332570,336665,340446,344629,349306,355135,359745,365764,372052,379508,385658,391636,397608,404637,412341,421071,431113,443428,455554,466304,475175,484107,492893,498693,504658,509976,517378,525150,533135,540820,548037,556531,565579,574873,584315,590694,597292,602877,608333,613298,617448,622673,626612,627859,629290,627520,627672,626449,626493,626653,626350,625256,623327,619856,616652,610696,604246,596337,588848,583200,576105,569762,560205,549764,535729,521365,508120,496099,485481,477951,470467,462387,451638,443968,439803,436827,433795,430782,427104,424569,422903,423007,423677,426573,431376,433313,432799,433064,436015,439761,439002,436414,431706,427587,423484,419761,418437,417722,418122,416360,414589,409670,408465,407273,405291,400881,396778,396330,396555,395935,395196,394519,395033,396115,397790,400386,402426,404823,408492,412856,419303,425637,434851,443879,453734,461844,470308,477685,485446,491969,497152,502888,507945,513629,516106,517080,516369,516394,516535,517381,515941,515481,515968,519153,522933,527526,532464,536326,537737,539648,541611,542805,544218,546235,550544,553908,559727,563638,567911,569695,572923,576054,578959,579709,581336,583596,588153,591884,594712,599166,602226,605583,607153,610333,614102,615657,617358,619559,624331,630261,635444,640355,645529,650555,655103,657654,660520,660952,661829,662280,665537,667390,666879,665719,663569,662227,661796,662764,663781,662846,663571,666284,670585,672598,674408,677384,683481,690442,695566,693656,690756,692497,701669,712284,722248,729738,736073,741209,748698,756569,767615,783282,803090,823992,837437,846549,851308
753899,2,"Anaheim, CA",Msa,CA,231193,231998,233231,235576,238089,240463,242893,245444,247874,250096,252153,254319,255984,257787,259709,262388,265016,267439,269916,272500,275179,277835,280149,282584,284591,286957,289775,293359,297436,301595,306829,312281,317831,322787,327708,332570,336665,340446,344629,349306,355135,359745,365764,372052,379508,385658,391636,397608,404637,412341,421071,431113,443428,455554,466304,475175,484107,492893,498693,504658,509976,517378,525150,533135,540820,548037,556531,565579,574873,584315,590694,597292,602877,608333,613298,617448,622673,626612,627859,629290,627520,627672,626449,626493,626653,626350,625256,623327,619856,616652,610696,604246,596337,588848,583200,576105,569762,560205,549764,535729,521365,508120,496099,485481,477951,470467,462387,451638,443968,439803,436827,433795,430782,427104,424569,422903,423007,423677,426573,431376,433313,432799,433064,436015,439761,439002,436414,431706,427587,423484,419761,418437,417722,418122,416360,414589,409670,408465,407273,405291,400881,396778,396330,396555,395935,395196,394519,395033,396115,397790,400386,402426,404823,408492,412856,419303,425637,434851,443879,453734,461844,470308,477685,485446,491969,497152,502888,507945,513629,516106,517080,516369,516394,516535,517381,515941,515481,515968,519153,522933,527526,532464,536326,537737,539648,541611,542805,544218,546235,550544,553908,559727,563638,567911,569695,572923,576054,578959,579709,581336,583596,588153,591884,594712,599166,602226,605583,607153,610333,614102,615657,617358,619559,624331,630261,635444,640355,645529,650555,655103,657654,660520,660952,661829,662280,665537,667390,666879,665719,663569,662227,661796,662764,663781,662846,663571,666284,670585,672598,674408,677384,683481,690442,695566,693656,690756,692497,701669,712284,722248,729738,736073,741209,748698,756569,767615,783282,803090,823992,837437,846549,851308
394463,3,"Chicago, IL",Msa,IL,170104,170505,171024,172064,173166,174257,175465,176820,178221,179599,180850,182074,183220,184233,185383,186514,187907,189195,190497,191815,193145,194567,195747,196814,197725,198786,200065,201140,202344,203446,204924,206433,207893,209235,210196,211356,212475,213833,215056,216455,217659,218758,219776,221086,222563,223958,225195,226301,227642,228919,230229,231697,233318,235195,236891,238621,240077,241606,243133,244875,246482,248193,249861,251774,253763,255792,257654,259422,261326,263194,264802,266347,267845,269331,270837,272138,273573,274392,275086,275549,275909,276060,276142,276408,276990,277544,277907,277850,277531,277034,276377,275685,274587,273514,272489,271247,269993,266940,266344,263638,263510,260307,259328,255916,253833,250118,247150,243185,238817,235774,232558,231283,229006,227625,226027,224583,222100,219909,217754,217112,215987,215694,214176,214759,213983,214743,212206,210808,208063,206346,203414,200897,198617,196850,195730,194145,193455,191994,191562,190185,189033,186573,185155,182884,181790,179644,179496,179172,179630,179507,178690,177863,176892,177243,177633,177944,178677,179756,180745,182047,183287,185374,187050,189114,190719,192898,193876,195220,195963,197464,198243,198707,199381,200484,201361,201573,201903,202159,202617,203149,203643,204279,205179,206463,207428,207475,207440,207264,207283,207276,207505,208358,209443,211261,212602,213569,214032,214401,215028,215479,215937,216443,217468,218968,220826,222520,224314,225603,226567,226712,226790,226950,227601,228504,229644,231080,232681,234035,234835,235319,235772,236205,236616,236915,237562,238065,238839,239458,239992,240733,241198,241705,241764,241691,241651,241582,241579,241471,241479,241692,242172,242780,243309,243437,243269,243240,244251,245915,248799,251655,254456,256680,258211,260534,262648,265690,268442,272263,276430,280547,283620,286280
394514,4,"Dallas, TX",Msa,TX,130035,130139,130225,130437,130658,130843,131042,131408,131862,132391,132875,133367,133579,133258,132977,132859,133077,133143,133215,133509,133736,133938,133987,134133,134274,134568,134941,135484,135978,136664,137275,137913,138368,138783,139174,139537,139807,139949,140137,140333,140515,140709,140772,140939,141109,141381,141592,141602,142361,143850,146273,148160,149214,149561,149702,150084,150426,150795,151026,151201,151918,152254,152645,152790,153255,153725,153993,154310,154644,154651,154751,154605,154619,154851,155169,155776,156428,157055,157379,157493,157729,158496,158973,159483,159137,158698,158237,158447,158921,159345,159713,160113,160694,161031,161233,161395,160417,159143,157580,157007,156607,156330,156202,155644,154758,153628,152772,152217,151796,151847,152004,152320,152520,152473,152528,152285,152249,152142,152662,153050,153006,152748,152518,152870,152999,153049,152491,151670,150619,149717,148790,148275,147848,147344,146854,146158,145766,145185,145111,144964,145032,144893,144727,144327,144030,144415,144998,145679,146140,146716,147442,147875,148240,148562,149233,149908,150700,151383,152333,153299,154376,155484,156659,157595,158631,159788,161178,162418,163371,164429,165396,166361,167256,168346,169095,169835,170361,171355,172627,174076,175676,177233,178950,180672,182467,184266,186023,187192,188251,189426,191079,192974,194613,196317,197844,199663,201582,203422,205312,206651,208107,209636,211602,213684,215492,217371,218813,220451,221932,223505,224790,226064,227674,229500,231330,232966,234773,236769,238722,240257,241418,242540,243521,244731,245742,246823,247873,249183,250888,252019,252657,252701,252823,252825,252899,253593,254748,255305,255555,255451,256450,257392,258645,259257,259669,260274,261325,263673,266262,269353,271729,274321,276637,280005,284015,289524,295921,303225,311010,318887,326057,332118
394514,4,"Fort Worth, TX",Msa,TX,130035,130139,130225,130437,130658,130843,131042,131408,131862,132391,132875,133367,133579,133258,132977,132859,133077,133143,133215,133509,133736,133938,133987,134133,134274,134568,134941,135484,135978,136664,137275,137913,138368,138783,139174,139537,139807,139949,140137,140333,140515,140709,140772,140939,141109,141381,141592,141602,142361,143850,146273,148160,149214,149561,149702,150084,150426,150795,151026,151201,151918,152254,152645,152790,153255,153725,153993,154310,154644,154651,154751,154605,154619,154851,155169,155776,156428,157055,157379,157493,157729,158496,158973,159483,159137,158698,158237,158447,158921,159345,159713,160113,160694,161031,161233,161395,160417,159143,157580,157007,156607,156330,156202,155644,154758,153628,152772,152217,151796,151847,152004,152320,152520,152473,152528,152285,152249,152142,152662,153050,153006,152748,152518,152870,152999,153049,152491,151670,150619,149717,148790,148275,147848,147344,146854,146158,145766,145185,145111,144964,145032,144893,144727,144327,144030,144415,144998,145679,146140,146716,147442,147875,148240,148562,149233,149908,150700,151383,152333,153299,154376,155484,156659,157595,158631,159788,161178,162418,163371,164429,165396,166361,167256,168346,169095,169835,170361,171355,172627,174076,175676,177233,178950,180672,182467,184266,186023,187192,188251,189426,191079,192974,194613,196317,197844,199663,201582,203422,205312,206651,208107,209636,211602,213684,215492,217371,218813,220451,221932,223505,224790,226064,227674,229500,231330,232966,234773,236769,238722,240257,241418,242540,243521,244731,245742,246823,247873,249183,250888,252019,252657,252701,252823,252825,252899,253593,254748,255305,255555,255451,256450,257392,258645,259257,259669,260274,261325,263673,266262,269353,271729,274321,276637,280005,284015,289524,295921,303225,311010,318887,326057,332118
394974,5,"Philadelphia, PA",Msa,PA,129808,130243,130505,131154,131680,132274,132820,133401,134046,134715,135322,135860,136405,137060,137812,138593,139316,140077,140953,141921,142952,143889,144883,145654,146474,147250,148242,149351,150486,151764,153109,154818,156625,158424,159927,161458,162880,164318,165649,167188,168902,170778,172805,174914,177044,178963,180753,182256,183738,185170,186823,188687,190961,193570,196509,199646,202440,204767,206704,208874,211243,213293,215234,217271,219985,223035,226238,229283,232061,234798,237170,239387,240985,242567,244118,245970,247815,249521,250903,251795,252250,252479,252452,252263,251929,251883,252393,252967,253816,254172,254391,253887,253237,252792,252398,251902,250927,250563,250445,250595,249882,248642,246891,245076,243133,241299,239674,238192,236810,235858,235451,235223,234683,233813,232630,231541,230490,230067,230020,230105,230283,230320,230504,230713,231042,231181,230721,229555,227848,225960,224080,222584,221467,220787,220170,219211,217827,216197,214727,213541,212375,211304,210329,209602,208844,208129,207838,207820,207762,207278,206585,205911,205504,205179,205098,205019,205316,205638,206191,206802,207704,208642,209537,210105,210719,211159,211729,212072,212661,213229,213602,213452,213466,213637,213921,213787,213612,213536,213712,214039,214360,214616,214970,215473,215750,215848,215893,216157,216364,216390,216368,216382,216639,217013,217295,217708,218134,218892,219400,219935,220370,221067,221785,222791,223878,224802,225477,226058,226692,227175,227508,227992,228651,229673,230703,231841,232763,233977,235446,236949,237930,238437,238907,239440,240235,240968,242022,243027,244062,244812,245674,246329,246960,247186,247618,248067,248541,248955,249460,250338,251264,252263,252766,253793,254604,255923,257543,260153,263311,266988,270505,274184,277412,280529,283627,286951,291300,296131,300660,304281,307143,309597
394692,6,"Houston, TX",Msa,TX,125307,125385,125267,125384,125391,125592,125721,125997,126351,126583,127098,127570,127818,127800,127346,127149,127091,127284,127446,127337,127432,127584,127803,127915,128048,128283,128831,129457,130054,130555,131060,131709,132240,132655,132929,133174,133552,133874,134276,134511,134746,134943,135158,135417,135575,135777,135921,136163,136631,137728,139498,140821,142136,142512,143493,144001,144842,145497,146146,146909,147595,148307,148842,149276,149467,149701,149807,149823,149760,149643,149799,149854,150023,149986,150200,150503,151179,151695,152280,152785,153436,154169,154784,155465,155788,155787,155582,155811,156340,157049,157447,157917,158251,158596,158804,159060,158553,158041,157446,157414,157176,156873,156610,155974,155169,154421,153524,152598,151623,151513,151542,151783,152024,152504,153083,153212,153005,152540,152540,152746,152744,152844,153190,153774,154144,153944,153101,151739,150604,149789,149298,148798,148226,147599,146746,146117,145630,145352,145233,145152,144953,144665,143801,143231,143041,143403,143992,144399,144912,145244,145789,146285,146619,146646,146939,147278,148081,149061,150678,152369,153959,155205,156471,157800,159144,160539,161832,163047,164428,165895,167123,168031,168857,170114,171481,173072,174602,176014,177340,178723,180266,181699,183308,184719,186111,187229,187947,188425,188916,189821,190673,191468,192479,193363,193911,194108,194687,195395,196084,196345,196602,196897,197846,198929,199590,200115,200636,201324,201769,202225,202499,202736,203052,203645,204390,205085,205752,206239,206742,207689,208692,209597,210165,211068,212039,213048,213828,214525,215490,216327,216814,216837,216935,217360,217830,218270,218573,219298,220023,220667,220618,220846,221441,222465,223053,223462,223915,224945,226852,228994,231379,233612,235910,238520,240408,242848,245997,251225,256996,262961,267801,272066
