city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,population,density,ranking,zips
Abbeville,Abbeville,SC,South Carolina,45001,Abbeville,34.1787,-82.3774,5019,311,3,29620
Calhoun Falls,Calhoun Falls,SC,South Carolina,45001,Abbeville,34.0933,-82.5963,1902,216,3,29628
Due West,Due West,SC,South Carolina,45001,Abbeville,34.3335,-82.3886,1203,284,3,29639
Lake Secession,Lake Secession,SC,South Carolina,45001,Abbeville,34.2821,-82.5908,1158,79,3,29620 29655
Donalds,Donalds,SC,South Carolina,45001,Abbeville,34.3766,-82.3467,331,153,3,29638
Lowndesville,Lowndesville,SC,South Carolina,45001,Abbeville,34.2099,-82.6476,119,59,3,29659
Antreville,Antreville,SC,South Carolina,45001,Abbeville,34.2971,-82.5541,61,6,3,29620 29655
Crowley,Crowley,LA,Louisiana,22001,Acadia,30.2175,-92.3752,14147,830,3,70526 70527
Rayne,Rayne,LA,Louisiana,22001,Acadia,30.2403,-92.2668,9431,813,3,70578
Church Point,Church Point,LA,Louisiana,22001,Acadia,30.4037,-92.2145,4388,581,3,70525
Iota,Iota,LA,Louisiana,22001,Acadia,30.326,-92.4956,1433,435,3,70543
Estherwood,Estherwood,LA,Louisiana,22001,Acadia,30.1816,-92.4634,1074,222,3,70534
Morse,Morse,LA,Louisiana,22001,Acadia,30.1221,-92.4985,802,221,3,70559
Mermentau,Mermentau,LA,Louisiana,22001,Acadia,30.1874,-92.584,629,113,3,70556 70559
Egan,Egan,LA,Louisiana,22001,Acadia,30.246,-92.5136,616,49,3,70531
Branch,Branch,LA,Louisiana,22001,Acadia,30.348,-92.2771,231,12,3,70516
Chincoteague,Chincoteague,VA,Virginia,51001,Accomack,37.9591,-75.3496,2875,119,3,23336
Onancock,Onancock,VA,Virginia,51001,Accomack,37.7102,-75.7433,1211,446,3,23417
Captains Cove,Captains Cove,VA,Virginia,51001,Accomack,38.0003,-75.4173,1077,140,3,23356
Wattsville,Wattsville,VA,Virginia,51001,Accomack,37.9304,-75.4953,998,95,3,23337 23303 23415
Pastoria,Pastoria,VA,Virginia,51001,Accomack,37.7446,-75.6352,996,174,3,23421 23301
Boston,Boston,VA,Virginia,51001,Accomack,37.6039,-75.8437,928,139,3,23420
Parksley,Parksley,VA,Virginia,51001,Accomack,37.7862,-75.6538,808,506,3,23421
Atlantic,Atlantic,VA,Virginia,51001,Accomack,37.9023,-75.5058,773,50,3,23303 23442
Tangier,Tangier,VA,Virginia,51001,Accomack,37.8235,-75.9934,701,499,3,23440
Horntown,Horntown,VA,Virginia,51001,Accomack,37.9655,-75.4559,524,38,3,23395
Metompkin,Metompkin,VA,Virginia,51001,Accomack,37.7671,-75.6054,504,168,3,23421
Onley,Onley,VA,Virginia,51001,Accomack,37.6916,-75.718,500,241,3,23417 23418
Mappsville,Mappsville,VA,Virginia,51001,Accomack,37.8433,-75.5689,487,238,3,23407 23359 23308
Accomac,Accomac,VA,Virginia,51001,Accomack,37.7196,-75.6674,485,458,3,23301
Nelsonia,Nelsonia,VA,Virginia,51001,Accomack,37.8224,-75.5895,454,100,3,23407 23414 23308
Tasley,Tasley,VA,Virginia,51001,Accomack,37.7125,-75.6971,434,157,3,23301 23441
Savageville,Savageville,VA,Virginia,51001,Accomack,37.6826,-75.7591,424,152,3,23417
Melfa,Melfa,VA,Virginia,51001,Accomack,37.6489,-75.7407,387,513,3,23410
Bloxom,Bloxom,VA,Virginia,51001,Accomack,37.8292,-75.6214,366,424,3,23308
Quinby,Quinby,VA,Virginia,51001,Accomack,37.5533,-75.7368,332,114,3,23423
Chase Crossing,Chase Crossing,VA,Virginia,51001,Accomack,37.7604,-75.6658,331,154,3,23357
Makemie Park,Makemie Park,VA,Virginia,51001,Accomack,37.9106,-75.5845,316,120,3,23442
Bayside,Bayside,VA,Virginia,51001,Accomack,37.7548,-75.7129,272,62,3,23417
Temperanceville,Temperanceville,VA,Virginia,51001,Accomack,37.8991,-75.5526,258,29,3,23442
Saxis,Saxis,VA,Virginia,51001,Accomack,37.9261,-75.7224,231,220,3,23427
Pungoteague,Pungoteague,VA,Virginia,51001,Accomack,37.6291,-75.8172,230,34,3,23420 23422
Painter,Painter,VA,Virginia,51001,Accomack,37.5852,-75.7837,224,132,3,23420
Wachapreague,Wachapreague,VA,Virginia,51001,Accomack,37.6064,-75.6898,223,385,3,23480
