FIPS Code,State,Area name,"Less than a high school diploma, 2015-19","High school diploma only, 2015-19","Some college or associate's degree, 2015-19","Bachelor's degree or higher, 2015-19","Percent of adults with less than a high school diploma, 2015-19","Percent of adults with a high school diploma only, 2015-19","Percent of adults completing some college or associate's degree, 2015-19","Percent of adults with a bachelor's degree or higher, 2015-19"
00000,US,United States,"26,472,261","59,472,748","63,756,905","70,920,162",12.0,27.0,28.9,32.1
01000,AL,Alabama,"458,922","1,022,839","993,344","845,772",13.8,30.8,29.9,25.5
01001,AL,Autauga County,"4,291","12,551","10,596","9,929",11.5,33.6,28.4,26.6
01003,AL,Baldwin County,"13,893","41,797","47,274","48,148",9.2,27.7,31.3,31.9
01005,AL,Barbour County,"4,812","6,396","4,676","2,080",26.8,35.6,26.0,11.6
01007,AL,Bibb County,"3,386","7,256","3,848","1,678",20.9,44.9,23.8,10.4
01009,AL,Blount County,"7,763","13,299","13,519","5,210",19.5,33.4,34.0,13.1
01011,AL,Bullock County,"1,798","2,860","1,587",856,25.3,40.3,22.3,12.1
01013,AL,Butler County,"2,066","6,244","3,279","2,230",15.0,45.2,23.7,16.1
01015,AL,Calhoun County,"12,315","25,940","26,233","14,620",15.6,32.8,33.2,18.5
01017,AL,Chambers County,"4,372","8,739","7,515","3,163",18.4,36.7,31.6,13.3
01019,AL,Cherokee County,"3,478","7,598","5,391","2,407",18.4,40.3,28.6,12.8
01021,AL,Chilton County,"5,474","13,348","7,401","3,823",18.2,44.4,24.6,12.7
01023,AL,Choctaw County,"1,737","3,515","2,964","1,113",18.6,37.7,31.8,11.9
01025,AL,Clarke County,"3,259","7,005","4,456","2,050",19.4,41.8,26.6,12.2
01027,AL,Clay County,"2,205","3,577","2,678",999,23.3,37.8,28.3,10.6
01029,AL,Cleburne County,"2,198","3,980","2,687","1,616",21.0,38.0,25.6,15.4
01031,AL,Coffee County,"4,967","9,615","12,667","8,044",14.1,27.2,35.9,22.8
01033,AL,Colbert County,"5,783","14,740","11,366","7,070",14.8,37.8,29.2,18.1
01035,AL,Conecuh County,"1,384","4,516","1,805","1,128",15.7,51.1,20.4,12.8
01037,AL,Coosa County,"1,652","3,327","2,221","1,059",20.0,40.3,26.9,12.8
01039,AL,Covington County,"4,366","9,819","8,119","4,020",16.6,37.3,30.8,15.3
01041,AL,Crenshaw County,"2,016","3,830","2,157","1,687",20.8,39.5,22.3,17.4
01043,AL,Cullman County,"10,648","19,668","19,406","8,004",18.4,34.1,33.6,13.9
01045,AL,Dale County,"4,651","10,819","11,961","6,078",13.9,32.3,35.7,18.1
01047,AL,Dallas County,"4,757","9,411","8,178","3,854",18.2,35.9,31.2,14.7
01049,AL,DeKalb County,"12,072","16,431","13,241","6,246",25.2,34.2,27.6,13.0
01051,AL,Elmore County,"7,503","18,232","16,298","14,060",13.4,32.5,29.1,25.1
01053,AL,Escambia County,"4,878","11,308","6,449","3,224",18.9,43.7,24.9,12.5
01055,AL,Etowah County,"11,127","23,668","24,422","12,815",15.4,32.9,33.9,17.8
01057,AL,Fayette County,"2,037","4,831","3,387","1,451",17.4,41.3,28.9,12.4
01059,AL,Franklin County,"4,739","7,601","5,539","2,907",22.8,36.6,26.6,14.0
01061,AL,Geneva County,"3,672","6,714","5,943","2,331",19.7,36.0,31.8,12.5
01063,AL,Greene County,"1,204","2,237","1,766",586,20.8,38.6,30.5,10.1
01065,AL,Hale County,"1,587","4,303","2,620","1,411",16.0,43.4,26.4,14.2
01067,AL,Henry County,"2,509","3,961","3,622","2,076",20.6,32.6,29.8,17.1
01069,AL,Houston County,"10,076","22,558","23,893","15,672",14.0,31.2,33.1,21.7
01071,AL,Jackson County,"6,218","15,177","10,429","5,175",16.8,41.0,28.2,14.0
01073,AL,Jefferson County,"44,684","118,636","136,299","150,124",9.9,26.4,30.3,33.4
01075,AL,Lamar County,"1,737","3,912","3,014","1,174",17.7,39.8,30.6,11.9
01077,AL,Lauderdale County,"8,026","22,873","17,759","14,948",12.6,36.0,27.9,23.5
01079,AL,Lawrence County,"4,825","9,605","5,954","2,930",20.7,41.2,25.5,12.6
01081,AL,Lee County,"8,849","23,026","30,907","34,273",9.1,23.7,31.8,35.3
01083,AL,Limestone County,"10,098","20,044","18,829","16,971",15.3,30.4,28.6,25.7
01085,AL,Lowndes County,"1,529","2,800","1,696","1,037",21.7,39.6,24.0,14.7
01087,AL,Macon County,"2,190","3,633","3,760","2,450",18.2,30.2,31.2,20.4
01089,AL,Madison County,"20,562","51,126","70,137","105,935",8.3,20.6,28.3,42.8
01091,AL,Marengo County,"2,118","4,970","3,895","2,109",16.2,38.0,29.8,16.1
01093,AL,Marion County,"4,345","7,408","6,804","2,715",20.4,34.8,32.0,12.8
01095,AL,Marshall County,"11,761","19,920","19,887","12,387",18.4,31.1,31.1,19.4
01097,AL,Mobile County,"37,736","94,715","81,698","64,689",13.5,34.0,29.3,23.2
01099,AL,Monroe County,"2,113","6,952","3,670","1,983",14.4,47.2,24.9,13.5
01101,AL,Montgomery County,"19,978","37,648","42,690","50,254",13.3,25.0,28.4,33.4
01103,AL,Morgan County,"13,137","25,075","25,790","18,476",15.9,30.4,31.3,22.4
01105,AL,Perry County,"1,010","2,172","1,361","1,340",17.2,36.9,23.1,22.8
01107,AL,Pickens County,"2,680","5,388","4,380","2,047",18.5,37.2,30.2,14.1
01109,AL,Pike County,"2,901","6,899","4,918","4,580",15.0,35.7,25.5,23.7
01111,AL,Randolph County,"3,213","5,502","4,454","2,607",20.4,34.9,28.2,16.5
01113,AL,Russell County,"6,297","12,237","13,449","6,937",16.2,31.4,34.6,17.8
01115,AL,St. Clair County,"9,488","21,849","20,207","9,880",15.4,35.6,32.9,16.1
01117,AL,Shelby County,"10,658","28,835","43,503","62,431",7.3,19.8,29.9,42.9
01119,AL,Sumter County,"1,076","2,860","2,408","1,744",13.3,35.4,29.8,21.6
01121,AL,Talladega County,"11,014","18,881","17,721","8,377",19.7,33.7,31.6,15.0
01123,AL,Tallapoosa County,"5,546","9,376","8,458","5,287",19.3,32.7,29.5,18.4
01125,AL,Tuscaloosa County,"15,036","38,580","35,780","39,660",11.7,29.9,27.7,30.7
01127,AL,Walker County,"8,141","16,796","14,765","5,080",18.2,37.5,33.0,11.3
01129,AL,Washington County,"1,971","4,886","3,052","1,437",17.4,43.1,26.9,12.7
01131,AL,Wilcox County,"1,675","2,808","1,742",889,23.5,39.5,24.5,12.5
01133,AL,Winston County,"3,635","6,556","4,764","2,201",21.2,38.2,27.8,12.8
02000,AK,Alaska,"34,376","134,582","169,609","142,019",7.2,28.0,35.3,29.6
02010,AK,Aleutian Islands,,,,,,,,
02013,AK,Aleutians East Borough,380,"1,137",798,301,14.5,43.5,30.5,11.5
02016,AK,Aleutians West Census Area,435,"1,611","1,378",703,10.5,39.0,33.4,17.0
02020,AK,Anchorage Municipality,"11,701","44,936","65,951","69,282",6.1,23.4,34.4,36.1
02050,AK,Bethel Census Area,"1,871","4,550","2,216","1,164",19.1,46.4,22.6,11.9
02060,AK,Bristol Bay Borough,38,235,219,143,6.0,37.0,34.5,22.5
02068,AK,Denali Borough,25,423,511,668,1.5,26.0,31.4,41.1
02070,AK,Dillingham Census Area,396,"1,078",782,639,13.7,37.2,27.0,22.1
02090,AK,Fairbanks North Star Borough,"3,406","13,993","25,045","19,402",5.5,22.6,40.5,31.4
02100,AK,Haines Borough,46,558,621,625,2.5,30.2,33.6,33.8
02105,AK,Hoonah-Angoon Census Area,107,659,580,365,6.3,38.5,33.9,21.3
02110,AK,Juneau City and Borough,818,"4,875","8,202","8,666",3.6,21.6,36.4,38.4
02122,AK,Kenai Peninsula Borough,"2,977","12,702","14,977","9,995",7.3,31.2,36.8,24.6
